Value,Percentile,TotalCount,1/(1-Percentile)
0.431,0.000000,1,1.00
0.892,0.100000,32925,1.11
0.921,0.200000,62571,1.25
0.932,0.300000,94852,1.43
0.952,0.400000,134333,1.67
0.962,0.500000,154231,2.00
0.972,0.550000,172761,2.22
0.982,0.600000,188799,2.50
0.992,0.650000,202944,2.86
1.002,0.700000,215438,3.33
1.012,0.750000,226460,4.00
1.022,0.775000,237045,4.44
1.032,0.800000,246629,5.00
1.042,0.825000,254724,5.71
1.052,0.850000,261498,6.67
1.062,0.875000,267060,8.00
1.062,0.887500,267060,8.89
1.072,0.900000,271413,10.00
1.082,0.912500,274859,11.43
1.092,0.925000,277596,13.33
1.112,0.937500,281400,16.00
1.132,0.943750,283641,17.78
1.152,0.950000,285097,20.00
1.192,0.956250,287068,22.86
1.243,0.962500,288844,26.67
1.322,0.968750,290628,32.00
1.373,0.971875,291645,35.56
1.442,0.975000,292514,40.00
1.523,0.978125,293506,45.71
1.614,0.981250,294384,53.33
1.734,0.984375,295327,64.00
1.804,0.985938,295812,71.11
1.884,0.987500,296267,80.00
1.974,0.989062,296746,91.43
2.085,0.990625,297189,106.67
2.225,0.992188,297680,128.00
2.295,0.992969,297911,142.22
2.385,0.993750,298144,160.00
2.475,0.994531,298361,182.86
2.615,0.995313,298604,213.33
2.777,0.996094,298830,256.00
2.885,0.996484,298952,284.44
3.007,0.996875,299064,320.00
3.167,0.997266,299182,365.71
3.347,0.997656,299297,426.67
3.577,0.998047,299416,512.00
3.647,0.998242,299473,568.89
3.727,0.998437,299536,640.00
3.789,0.998633,299591,731.43
3.917,0.998828,299650,853.33
4.049,0.999023,299713,1024.00
4.159,0.999121,299741,1137.78
4.271,0.999219,299766,1280.00
4.419,0.999316,299796,1462.86
4.591,0.999414,299826,1706.67
4.791,0.999512,299854,2048.00
4.939,0.999561,299869,2275.56
5.091,0.999609,299883,2560.00
5.251,0.999658,299899,2925.71
5.451,0.999707,299913,3413.33
5.751,0.999756,299927,4096.00
5.991,0.999780,299935,4551.11
6.323,0.999805,299942,5120.00
6.503,0.999829,299949,5851.43
6.663,0.999854,299957,6826.67
6.955,0.999878,299964,8192.00
7.055,0.999890,299968,9102.22
7.295,0.999902,299971,10240.00
7.955,0.999915,299975,11702.86
8.343,0.999927,299979,13653.33
9.191,0.999939,299982,16384.00
9.343,0.999945,299984,18204.44
10.015,0.999951,299986,20480.00
10.159,0.999957,299988,23405.71
10.647,0.999963,299990,27306.67
10.695,0.999969,299991,32768.00
10.703,0.999973,299992,36408.89
10.711,0.999976,299993,40960.00
10.727,0.999979,299994,46811.43
10.791,0.999982,299995,54613.33
10.999,0.999985,299996,65536.00
10.999,0.999986,299996,72817.78
11.375,0.999988,299997,81920.00
11.375,0.999989,299997,93622.86
11.583,0.999991,299998,109226.67
11.583,0.999992,299998,131072.00
11.583,0.999993,299998,145635.56
14.183,0.999994,299999,163840.00
14.183,0.999995,299999,187245.71
14.183,0.999995,299999,218453.33
14.183,0.999996,299999,262144.00
14.183,0.999997,299999,291271.11
15.287,0.999997,300000,327680.00
15.287,1.000000,300000,inf
