Value,Percentile,TotalCount,1/(1-Percentile)
0.501,0.000000,1,1.00
0.632,0.100000,31217,1.11
0.661,0.200000,70831,1.25
0.672,0.300000,95264,1.43
0.691,0.400000,130168,1.67
0.701,0.500000,151294,2.00
0.711,0.550000,172046,2.22
0.721,0.600000,191339,2.50
0.722,0.650000,198903,2.86
0.732,0.700000,215854,3.33
0.742,0.750000,230820,4.00
0.751,0.775000,237766,4.44
0.752,0.800000,243621,5.00
0.761,0.825000,249125,5.71
0.771,0.850000,258743,6.67
0.772,0.875000,263107,8.00
0.781,0.887500,266489,8.89
0.782,0.900000,270030,10.00
0.792,0.912500,275471,11.43
0.802,0.925000,279636,13.33
0.812,0.937500,282664,16.00
0.821,0.943750,283511,17.78
0.831,0.950000,285330,20.00
0.842,0.956250,287351,22.86
0.871,0.962500,288836,26.67
0.921,0.968750,290645,32.00
0.952,0.971875,291668,35.56
1.002,0.975000,292595,40.00
1.062,0.978125,293494,45.71
1.153,0.981250,294380,53.33
1.292,0.984375,295340,64.00
1.372,0.985938,295793,71.11
1.463,0.987500,296260,80.00
1.583,0.989062,296754,91.43
1.713,0.990625,297207,106.67
1.834,0.992188,297660,128.00
1.914,0.992969,297896,142.22
1.994,0.993750,298142,160.00
2.085,0.994531,298385,182.86
2.175,0.995313,298600,213.33
2.275,0.996094,298839,256.00
2.345,0.996484,298967,284.44
2.395,0.996875,299074,320.00
2.465,0.997266,299181,365.71
2.535,0.997656,299308,426.67
2.615,0.998047,299432,512.00
2.667,0.998242,299473,568.89
2.727,0.998437,299537,640.00
2.777,0.998633,299593,731.43
2.855,0.998828,299653,853.33
2.945,0.999023,299709,1024.00
3.017,0.999121,299738,1137.78
3.087,0.999219,299771,1280.00
3.157,0.999316,299795,1462.86
3.297,0.999414,299825,1706.67
3.467,0.999512,299854,2048.00
3.577,0.999561,299870,2275.56
3.657,0.999609,299884,2560.00
3.767,0.999658,299898,2925.71
3.869,0.999707,299915,3413.33
4.009,0.999756,299927,4096.00
4.151,0.999780,299935,4551.11
4.239,0.999805,299944,5120.00
4.439,0.999829,299949,5851.43
4.539,0.999854,299957,6826.67
4.711,0.999878,299964,8192.00
4.859,0.999890,299969,9102.22
4.883,0.999902,299971,10240.00
5.071,0.999915,299975,11702.86
5.231,0.999927,299979,13653.33
5.351,0.999939,299982,16384.00
5.551,0.999945,299984,18204.44
5.903,0.999951,299986,20480.00
5.983,0.999957,299988,23405.71
6.683,0.999963,299990,27306.67
7.135,0.999969,299991,32768.00
7.999,0.999973,299992,36408.89
8.199,0.999976,299993,40960.00
8.871,0.999979,299994,46811.43
9.111,0.999982,299995,54613.33
9.391,0.999985,299996,65536.00
9.391,0.999986,299996,72817.78
10.303,0.999988,299997,81920.00
10.303,0.999989,299997,93622.86
10.615,0.999991,299998,109226.67
10.615,0.999992,299998,131072.00
10.615,0.999993,299998,145635.56
14.695,0.999994,299999,163840.00
14.695,0.999995,299999,187245.71
14.695,0.999995,299999,218453.33
14.695,0.999996,299999,262144.00
14.695,0.999997,299999,291271.11
14.855,0.999997,300000,327680.00
14.855,1.000000,300000,inf
