Value,Percentile,TotalCount,1/(1-Percentile)
2.763,0.000000,1,1.00
3.029,0.100000,30555,1.11
3.091,0.200000,61033,1.25
3.151,0.300000,90316,1.43
3.233,0.400000,120466,1.67
3.321,0.500000,150378,2.00
3.357,0.550000,165270,2.22
3.389,0.600000,180093,2.50
3.419,0.650000,195601,2.86
3.447,0.700000,210967,3.33
3.473,0.750000,225306,4.00
3.487,0.775000,232847,4.44
3.503,0.800000,240797,5.00
3.519,0.825000,248188,5.71
3.537,0.850000,255323,6.67
3.559,0.875000,262803,8.00
3.573,0.887500,266653,8.89
3.587,0.900000,270026,10.00
3.609,0.912500,273966,11.43
3.637,0.925000,277686,13.33
3.683,0.937500,281316,16.00
3.721,0.943750,283125,17.78
3.779,0.950000,285006,20.00
3.855,0.956250,286896,22.86
3.945,0.962500,288784,26.67
4.073,0.968750,290627,32.00
4.163,0.971875,291563,35.56
4.279,0.975000,292511,40.00
4.427,0.978125,293455,45.71
4.607,0.981250,294385,53.33
4.823,0.984375,295318,64.00
4.959,0.985938,295786,71.11
5.119,0.987500,296251,80.00
5.315,0.989062,296725,91.43
5.535,0.990625,297190,106.67
5.815,0.992188,297659,128.00
5.995,0.992969,297895,142.22
6.155,0.993750,298125,160.00
6.403,0.994531,298363,182.86
6.667,0.995313,298594,213.33
6.995,0.996094,298829,256.00
7.223,0.996484,298946,284.44
7.567,0.996875,299064,320.00
7.963,0.997266,299180,365.71
8.647,0.997656,299298,426.67
9.615,0.998047,299415,512.00
10.311,0.998242,299473,568.89
13.255,0.998437,299532,640.00
13.391,0.998633,299590,731.43
13.431,0.998828,299652,853.33
13.463,0.999023,299715,1024.00
13.479,0.999121,299753,1137.78
13.495,0.999219,299777,1280.00
13.511,0.999316,299808,1462.86
13.527,0.999414,299825,1706.67
13.591,0.999512,299854,2048.00
13.743,0.999561,299869,2275.56
14.047,0.999609,299884,2560.00
15.207,0.999658,299898,2925.71
16.543,0.999707,299913,3413.33
20.463,0.999756,299927,4096.00
23.455,0.999780,299935,4551.11
25.327,0.999805,299942,5120.00
28.879,0.999829,299949,5851.43
35.295,0.999854,299957,6826.67
49.311,0.999878,299964,8192.00
60.511,0.999890,299968,9102.22
65.791,0.999902,299971,10240.00
83.391,0.999915,299975,11702.86
104.191,0.999927,299979,13653.33
124.991,0.999939,299982,16384.00
128.575,0.999945,299984,18204.44
137.471,0.999951,299986,20480.00
139.263,0.999957,299988,23405.71
141.823,0.999963,299990,27306.67
148.991,0.999969,299991,32768.00
156.799,0.999973,299992,36408.89
157.823,0.999976,299993,40960.00
165.887,0.999979,299994,46811.43
178.943,0.999982,299995,54613.33
179.967,0.999985,299996,65536.00
179.967,0.999986,299996,72817.78
181.759,0.999988,299997,81920.00
181.759,0.999989,299997,93622.86
186.495,0.999991,299998,109226.67
186.495,0.999992,299998,131072.00
186.495,0.999993,299998,145635.56
202.367,0.999994,299999,163840.00
202.367,0.999995,299999,187245.71
202.367,0.999995,299999,218453.33
202.367,0.999996,299999,262144.00
202.367,0.999997,299999,291271.11
712.703,0.999997,300000,327680.00
712.703,1.000000,300000,inf
