Value,Percentile,TotalCount,1/(1-Percentile)
3.019,0.000000,1,1.00
3.313,0.100000,30561,1.11
3.405,0.200000,60553,1.25
3.487,0.300000,90056,1.43
3.559,0.400000,120220,1.67
3.621,0.500000,150663,2.00
3.649,0.550000,165686,2.22
3.675,0.600000,180249,2.50
3.703,0.650000,195650,2.86
3.731,0.700000,210391,3.33
3.761,0.750000,225455,4.00
3.777,0.775000,232720,4.44
3.795,0.800000,240220,5.00
3.815,0.825000,247541,5.71
3.839,0.850000,255201,6.67
3.869,0.875000,262747,8.00
3.887,0.887500,266343,8.89
3.911,0.900000,270226,10.00
3.939,0.912500,273841,11.43
3.983,0.925000,277632,13.33
4.049,0.937500,281271,16.00
4.099,0.943750,283214,17.78
4.155,0.950000,285070,20.00
4.215,0.956250,286882,22.86
4.279,0.962500,288807,26.67
4.347,0.968750,290671,32.00
4.387,0.971875,291645,35.56
4.431,0.975000,292559,40.00
4.491,0.978125,293487,45.71
4.583,0.981250,294376,53.33
4.743,0.984375,295325,64.00
4.843,0.985938,295783,71.11
4.967,0.987500,296262,80.00
5.099,0.989062,296723,91.43
5.243,0.990625,297192,106.67
5.427,0.992188,297657,128.00
5.535,0.992969,297891,142.22
5.643,0.993750,298131,160.00
5.779,0.994531,298365,182.86
5.935,0.995313,298594,213.33
6.131,0.996094,298830,256.00
6.243,0.996484,298946,284.44
6.331,0.996875,299064,320.00
6.475,0.997266,299185,365.71
6.651,0.997656,299298,426.67
6.811,0.998047,299415,512.00
6.911,0.998242,299473,568.89
7.011,0.998437,299532,640.00
7.135,0.998633,299592,731.43
7.311,0.998828,299649,853.33
7.499,0.999023,299710,1024.00
7.619,0.999121,299737,1137.78
7.727,0.999219,299766,1280.00
7.939,0.999316,299795,1462.86
8.223,0.999414,299825,1706.67
8.607,0.999512,299854,2048.00
8.847,0.999561,299869,2275.56
9.191,0.999609,299884,2560.00
9.615,0.999658,299899,2925.71
9.887,0.999707,299913,3413.33
10.303,0.999756,299927,4096.00
10.439,0.999780,299935,4551.11
10.743,0.999805,299942,5120.00
11.271,0.999829,299949,5851.43
12.391,0.999854,299957,6826.67
13.935,0.999878,299964,8192.00
14.103,0.999890,299968,9102.22
14.495,0.999902,299971,10240.00
16.247,0.999915,299975,11702.86
17.423,0.999927,299979,13653.33
19.743,0.999939,299982,16384.00
21.919,0.999945,299984,18204.44
25.231,0.999951,299986,20480.00
38.239,0.999957,299988,23405.71
76.479,0.999963,299990,27306.67
97.023,0.999969,299991,32768.00
124.031,0.999973,299992,36408.89
166.911,0.999976,299993,40960.00
183.039,0.999979,299994,46811.43
196.095,0.999982,299995,54613.33
225.023,0.999985,299996,65536.00
225.023,0.999986,299996,72817.78
238.207,0.999988,299997,81920.00
238.207,0.999989,299997,93622.86
239.359,0.999991,299998,109226.67
239.359,0.999992,299998,131072.00
239.359,0.999993,299998,145635.56
273.151,0.999994,299999,163840.00
273.151,0.999995,299999,187245.71
273.151,0.999995,299999,218453.33
273.151,0.999996,299999,262144.00
273.151,0.999997,299999,291271.11
443.391,0.999997,300000,327680.00
443.391,1.000000,300000,inf
