Value,Percentile,TotalCount,1/(1-Percentile)
2.757,0.000000,1,1.00
2.979,0.100000,30680,1.11
3.033,0.200000,60528,1.25
3.079,0.300000,90701,1.43
3.127,0.400000,120281,1.67
3.185,0.500000,150112,2.00
3.221,0.550000,165281,2.22
3.263,0.600000,180578,2.50
3.307,0.650000,195404,2.86
3.353,0.700000,210415,3.33
3.399,0.750000,225245,4.00
3.423,0.775000,233099,4.44
3.445,0.800000,240299,5.00
3.469,0.825000,247834,5.71
3.493,0.850000,255021,6.67
3.521,0.875000,262592,8.00
3.537,0.887500,266443,8.89
3.555,0.900000,270137,10.00
3.577,0.912500,273902,11.43
3.603,0.925000,277531,13.33
3.639,0.937500,281303,16.00
3.665,0.943750,283232,17.78
3.697,0.950000,285030,20.00
3.743,0.956250,286876,22.86
3.817,0.962500,288788,26.67
3.927,0.968750,290633,32.00
3.997,0.971875,291587,35.56
4.069,0.975000,292524,40.00
4.163,0.978125,293451,45.71
4.295,0.981250,294390,53.33
4.487,0.984375,295320,64.00
4.583,0.985938,295784,71.11
4.707,0.987500,296258,80.00
4.823,0.989062,296720,91.43
4.979,0.990625,297189,106.67
5.159,0.992188,297660,128.00
5.267,0.992969,297893,142.22
5.387,0.993750,298128,160.00
5.523,0.994531,298362,182.86
5.695,0.995313,298596,213.33
5.883,0.996094,298832,256.00
6.007,0.996484,298950,284.44
6.115,0.996875,299063,320.00
6.263,0.997266,299182,365.71
6.447,0.997656,299297,426.67
6.691,0.998047,299416,512.00
6.835,0.998242,299473,568.89
6.995,0.998437,299532,640.00
7.251,0.998633,299590,731.43
7.547,0.998828,299649,853.33
7.975,0.999023,299708,1024.00
8.167,0.999121,299737,1137.78
8.495,0.999219,299766,1280.00
8.703,0.999316,299795,1462.86
8.951,0.999414,299827,1706.67
9.263,0.999512,299854,2048.00
9.543,0.999561,299869,2275.56
9.831,0.999609,299883,2560.00
10.231,0.999658,299898,2925.71
10.823,0.999707,299913,3413.33
11.879,0.999756,299927,4096.00
12.855,0.999780,299935,4551.11
13.407,0.999805,299942,5120.00
13.743,0.999829,299949,5851.43
15.207,0.999854,299957,6826.67
19.791,0.999878,299964,8192.00
22.863,0.999890,299968,9102.22
26.063,0.999902,299971,10240.00
37.567,0.999915,299975,11702.86
41.567,0.999927,299979,13653.33
47.391,0.999939,299982,16384.00
48.351,0.999945,299984,18204.44
62.527,0.999951,299986,20480.00
131.327,0.999957,299988,23405.71
178.687,0.999963,299990,27306.67
188.159,0.999969,299991,32768.00
236.415,0.999973,299992,36408.89
266.751,0.999976,299993,40960.00
270.591,0.999979,299994,46811.43
274.175,0.999982,299995,54613.33
286.719,0.999985,299996,65536.00
286.719,0.999986,299996,72817.78
290.047,0.999988,299997,81920.00
290.047,0.999989,299997,93622.86
296.447,0.999991,299998,109226.67
296.447,0.999992,299998,131072.00
296.447,0.999993,299998,145635.56
311.551,0.999994,299999,163840.00
311.551,0.999995,299999,187245.71
311.551,0.999995,299999,218453.33
311.551,0.999996,299999,262144.00
311.551,0.999997,299999,291271.11
429.055,0.999997,300000,327680.00
429.055,1.000000,300000,inf
