Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,152591,1.00
0.001,0.100000,152591,1.11
0.001,0.200000,152591,1.25
0.001,0.300000,152591,1.43
0.001,0.400000,152591,1.67
0.001,0.500000,152591,2.00
0.037,0.550000,167591,2.22
0.077,0.600000,182084,2.50
0.117,0.650000,195206,2.86
0.177,0.700000,212011,3.33
0.237,0.750000,225985,4.00
0.268,0.775000,232811,4.44
0.308,0.800000,240525,5.00
0.348,0.825000,247529,5.71
0.398,0.850000,255732,6.67
0.448,0.875000,263134,8.00
0.478,0.887500,266973,8.89
0.508,0.900000,270384,10.00
0.548,0.912500,274257,11.43
0.598,0.925000,278153,13.33
0.658,0.937500,281489,16.00
0.699,0.943750,283143,17.78
0.759,0.950000,285084,20.00
0.829,0.956250,286884,22.86
0.928,0.962500,288776,26.67
1.039,0.968750,290677,32.00
1.109,0.971875,291575,35.56
1.199,0.975000,292526,40.00
1.319,0.978125,293464,45.71
1.460,0.981250,294388,53.33
1.630,0.984375,295349,64.00
1.720,0.985938,295794,71.11
1.841,0.987500,296265,80.00
1.971,0.989062,296727,91.43
2.121,0.990625,297194,106.67
2.311,0.992188,297671,128.00
2.421,0.992969,297892,142.22
2.543,0.993750,298133,160.00
2.683,0.994531,298370,182.86
2.853,0.995313,298603,213.33
3.083,0.996094,298831,256.00
3.223,0.996484,298953,284.44
3.403,0.996875,299067,320.00
3.595,0.997266,299181,365.71
3.875,0.997656,299297,426.67
4.287,0.998047,299417,512.00
4.519,0.998242,299474,568.89
4.799,0.998437,299533,640.00
5.179,0.998633,299590,731.43
5.631,0.998828,299649,853.33
6.291,0.999023,299708,1024.00
6.763,0.999121,299737,1137.78
7.351,0.999219,299767,1280.00
8.367,0.999316,299795,1462.86
9.455,0.999414,299825,1706.67
10.047,0.999512,299854,2048.00
10.439,0.999561,299870,2275.56
10.743,0.999609,299883,2560.00
11.863,0.999658,299898,2925.71
13.519,0.999707,299913,3413.33
15.071,0.999756,299927,4096.00
17.663,0.999780,299935,4551.11
19.567,0.999805,299942,5120.00
21.311,0.999829,299949,5851.43
25.375,0.999854,299957,6826.67
30.543,0.999878,299964,8192.00
35.615,0.999890,299968,9102.22
37.439,0.999902,299971,10240.00
49.151,0.999915,299975,11702.86
76.543,0.999927,299979,13653.33
94.335,0.999939,299982,16384.00
128.255,0.999945,299984,18204.44
152.447,0.999951,299986,20480.00
167.679,0.999957,299988,23405.71
201.599,0.999963,299990,27306.67
204.415,0.999969,299991,32768.00
229.631,0.999973,299992,36408.89
276.735,0.999976,299993,40960.00
285.951,0.999979,299994,46811.43
287.487,0.999982,299995,54613.33
297.471,0.999985,299996,65536.00
297.471,0.999986,299996,72817.78
319.999,0.999988,299997,81920.00
319.999,0.999989,299997,93622.86
327.423,0.999991,299998,109226.67
327.423,0.999992,299998,131072.00
327.423,0.999993,299998,145635.56
348.927,0.999994,299999,163840.00
348.927,0.999995,299999,187245.71
348.927,0.999995,299999,218453.33
348.927,0.999996,299999,262144.00
348.927,0.999997,299999,291271.11
429.311,0.999997,300000,327680.00
429.311,1.000000,300000,inf
