Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,145034,1.00
0.001,0.100000,145034,1.11
0.001,0.200000,145034,1.25
0.001,0.300000,145034,1.43
0.001,0.400000,145034,1.67
0.007,0.500000,150056,2.00
0.028,0.550000,165726,2.22
0.057,0.600000,181159,2.50
0.097,0.650000,195259,2.86
0.258,0.700000,210003,3.33
0.368,0.750000,227045,4.00
0.388,0.775000,234357,4.44
0.408,0.800000,242853,5.00
0.419,0.825000,247634,5.71
0.438,0.850000,255966,6.67
0.458,0.875000,263752,8.00
0.468,0.887500,267154,8.89
0.478,0.900000,270237,10.00
0.498,0.912500,275437,11.43
0.509,0.925000,277894,13.33
0.538,0.937500,281906,16.00
0.549,0.943750,283416,17.78
0.569,0.950000,285126,20.00
0.599,0.956250,287004,22.86
0.639,0.962500,288753,26.67
0.708,0.968750,290660,32.00
0.758,0.971875,291593,35.56
0.829,0.975000,292577,40.00
0.889,0.978125,293608,45.71
0.929,0.981250,294448,53.33
0.970,0.984375,295323,64.00
0.999,0.985938,295803,71.11
1.039,0.987500,296322,80.00
1.070,0.989062,296735,91.43
1.120,0.990625,297212,106.67
1.280,0.992188,297662,128.00
1.500,0.992969,297895,142.22
1.911,0.993750,298129,160.00
2.833,0.994531,298361,182.86
3.655,0.995313,298601,213.33
4.507,0.996094,298832,256.00
5.187,0.996484,298946,284.44
5.819,0.996875,299066,320.00
6.291,0.997266,299180,365.71
6.903,0.997656,299299,426.67
7.543,0.998047,299416,512.00
7.763,0.998242,299476,568.89
7.995,0.998437,299532,640.00
8.247,0.998633,299594,731.43
8.479,0.998828,299652,853.33
8.751,0.999023,299708,1024.00
8.895,0.999121,299737,1137.78
8.991,0.999219,299769,1280.00
9.127,0.999316,299798,1462.86
9.287,0.999414,299825,1706.67
9.407,0.999512,299858,2048.00
9.439,0.999561,299869,2275.56
9.503,0.999609,299883,2560.00
9.567,0.999658,299898,2925.71
9.647,0.999707,299917,3413.33
9.687,0.999756,299929,4096.00
9.743,0.999780,299938,4551.11
9.783,0.999805,299943,5120.00
9.831,0.999829,299950,5851.43
9.943,0.999854,299957,6826.67
10.031,0.999878,299965,8192.00
10.063,0.999890,299969,9102.22
10.087,0.999902,299973,10240.00
10.111,0.999915,299975,11702.86
10.199,0.999927,299979,13653.33
10.247,0.999939,299982,16384.00
10.455,0.999945,299984,18204.44
10.671,0.999951,299986,20480.00
10.983,0.999957,299988,23405.71
11.471,0.999963,299990,27306.67
12.367,0.999969,299991,32768.00
12.783,0.999973,299992,36408.89
12.815,0.999976,299993,40960.00
13.175,0.999979,299994,46811.43
13.391,0.999982,299995,54613.33
14.399,0.999985,299996,65536.00
14.399,0.999986,299996,72817.78
14.767,0.999988,299997,81920.00
14.767,0.999989,299997,93622.86
22.367,0.999991,299998,109226.67
22.367,0.999992,299998,131072.00
22.367,0.999993,299998,145635.56
22.863,0.999994,299999,163840.00
22.863,0.999995,299999,187245.71
22.863,0.999995,299999,218453.33
22.863,0.999996,299999,262144.00
22.863,0.999997,299999,291271.11
64.511,0.999997,300000,327680.00
64.511,1.000000,300000,inf
