Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,146700,1.00
0.001,0.100000,146700,1.11
0.001,0.200000,146700,1.25
0.001,0.300000,146700,1.43
0.001,0.400000,146700,1.67
0.108,0.500000,150095,2.00
0.208,0.550000,166192,2.22
0.237,0.600000,181109,2.50
0.248,0.650000,196907,2.86
0.268,0.700000,216304,3.33
0.278,0.750000,225583,4.00
0.288,0.775000,233965,4.44
0.298,0.800000,241584,5.00
0.308,0.825000,248069,5.71
0.328,0.850000,257936,6.67
0.348,0.875000,264301,8.00
0.358,0.887500,266544,8.89
0.388,0.900000,270549,10.00
0.448,0.912500,273967,11.43
0.509,0.925000,277524,13.33
0.648,0.937500,281288,16.00
0.749,0.943750,283195,17.78
0.799,0.950000,285081,20.00
0.849,0.956250,287001,22.86
0.879,0.962500,288931,26.67
0.899,0.968750,290635,32.00
0.910,0.971875,291591,35.56
0.929,0.975000,293137,40.00
0.939,0.978125,293879,45.71
0.949,0.981250,294540,53.33
0.969,0.984375,295512,64.00
0.979,0.985938,295879,71.11
0.999,0.987500,296411,80.00
1.019,0.989062,296769,91.43
1.070,0.990625,297203,106.67
1.310,0.992188,297666,128.00
1.410,0.992969,297913,142.22
1.490,0.993750,298129,160.00
1.911,0.994531,298364,182.86
2.563,0.995313,298594,213.33
3.615,0.996094,298839,256.00
4.135,0.996484,298948,284.44
4.799,0.996875,299063,320.00
5.531,0.997266,299182,365.71
6.059,0.997656,299299,426.67
6.683,0.998047,299416,512.00
7.123,0.998242,299475,568.89
7.483,0.998437,299532,640.00
7.763,0.998633,299591,731.43
8.075,0.998828,299651,853.33
8.399,0.999023,299708,1024.00
8.559,0.999121,299737,1137.78
8.735,0.999219,299766,1280.00
8.895,0.999316,299795,1462.86
9.087,0.999414,299826,1706.67
9.263,0.999512,299854,2048.00
9.359,0.999561,299871,2275.56
9.407,0.999609,299885,2560.00
9.487,0.999658,299899,2925.71
9.559,0.999707,299913,3413.33
9.663,0.999756,299928,4096.00
9.719,0.999780,299937,4551.11
9.791,0.999805,299942,5120.00
9.823,0.999829,299952,5851.43
9.847,0.999854,299958,6826.67
9.951,0.999878,299964,8192.00
9.983,0.999890,299968,9102.22
9.999,0.999902,299972,10240.00
10.039,0.999915,299975,11702.86
10.127,0.999927,299979,13653.33
10.303,0.999939,299982,16384.00
10.375,0.999945,299984,18204.44
10.583,0.999951,299986,20480.00
10.663,0.999957,299988,23405.71
10.895,0.999963,299990,27306.67
11.775,0.999969,299991,32768.00
12.015,0.999973,299992,36408.89
12.167,0.999976,299993,40960.00
13.511,0.999979,299994,46811.43
13.975,0.999982,299995,54613.33
17.391,0.999985,299996,65536.00
17.391,0.999986,299996,72817.78
27.951,0.999988,299997,81920.00
27.951,0.999989,299997,93622.86
45.439,0.999991,299998,109226.67
45.439,0.999992,299998,131072.00
45.439,0.999993,299998,145635.56
47.743,0.999994,299999,163840.00
47.743,0.999995,299999,187245.71
47.743,0.999995,299999,218453.33
47.743,0.999996,299999,262144.00
47.743,0.999997,299999,291271.11
71.423,0.999997,300000,327680.00
71.423,1.000000,300000,inf
