Value,Percentile,TotalCount,1/(1-Percentile)
0.731,0.000000,1,1.00
3.949,0.100000,30134,1.11
4.151,0.200000,62923,1.25
4.231,0.300000,91475,1.43
4.299,0.400000,120829,1.67
4.379,0.500000,153064,2.00
4.411,0.550000,165762,2.22
4.451,0.600000,180535,2.50
4.499,0.650000,197124,2.86
4.551,0.700000,212539,3.33
4.611,0.750000,226972,4.00
4.639,0.775000,232736,4.44
4.699,0.800000,240896,5.00
4.863,0.825000,247540,5.71
5.343,0.850000,255004,6.67
5.935,0.875000,262552,8.00
6.255,0.887500,266292,8.89
6.515,0.900000,270077,10.00
6.735,0.912500,273874,11.43
6.943,0.925000,277578,13.33
7.187,0.937500,281315,16.00
7.335,0.943750,283163,17.78
7.507,0.950000,285033,20.00
7.675,0.956250,286915,22.86
7.827,0.962500,288839,26.67
7.975,0.968750,290686,32.00
8.059,0.971875,291572,35.56
8.155,0.975000,292516,40.00
8.287,0.978125,293450,45.71
8.567,0.981250,294387,53.33
13.543,0.984375,295315,64.00
15.215,0.985938,295783,71.11
17.007,0.987500,296258,80.00
17.759,0.989062,296727,91.43
18.207,0.990625,297194,106.67
19.023,0.992188,297659,128.00
19.743,0.992969,297897,142.22
21.007,0.993750,298127,160.00
22.031,0.994531,298362,182.86
24.415,0.995313,298595,213.33
26.863,0.996094,298829,256.00
29.679,0.996484,298946,284.44
32.047,0.996875,299063,320.00
33.471,0.997266,299182,365.71
34.207,0.997656,299303,426.67
35.039,0.998047,299419,512.00
35.903,0.998242,299473,568.89
37.535,0.998437,299532,640.00
38.399,0.998633,299592,731.43
39.359,0.998828,299651,853.33
42.175,0.999023,299709,1024.00
44.351,0.999121,299737,1137.78
45.631,0.999219,299767,1280.00
47.551,0.999316,299795,1462.86
50.015,0.999414,299825,1706.67
53.663,0.999512,299855,2048.00
55.583,0.999561,299869,2275.56
58.111,0.999609,299883,2560.00
59.775,0.999658,299899,2925.71
60.959,0.999707,299913,3413.33
62.655,0.999756,299927,4096.00
63.391,0.999780,299935,4551.11
64.415,0.999805,299942,5120.00
66.111,0.999829,299949,5851.43
67.455,0.999854,299957,6826.67
70.399,0.999878,299964,8192.00
79.423,0.999890,299968,9102.22
85.247,0.999902,299971,10240.00
87.679,0.999915,299975,11702.86
88.255,0.999927,299979,13653.33
89.855,0.999939,299982,16384.00
90.239,0.999945,299984,18204.44
93.439,0.999951,299986,20480.00
99.071,0.999957,299988,23405.71
101.247,0.999963,299990,27306.67
101.311,0.999969,299991,32768.00
101.823,0.999973,299992,36408.89
101.887,0.999976,299993,40960.00
102.399,0.999979,299994,46811.43
103.807,0.999982,299995,54613.33
104.255,0.999985,299996,65536.00
104.255,0.999986,299996,72817.78
114.879,0.999988,299997,81920.00
114.879,0.999989,299997,93622.86
119.679,0.999991,299998,109226.67
119.679,0.999992,299998,131072.00
119.679,0.999993,299998,145635.56
146.303,0.999994,299999,163840.00
146.303,0.999995,299999,187245.71
146.303,0.999995,299999,218453.33
146.303,0.999996,299999,262144.00
146.303,0.999997,299999,291271.11
257.535,0.999997,300000,327680.00
257.535,1.000000,300000,inf
