Value,Percentile,TotalCount,1/(1-Percentile)
0.792,0.000000,1,1.00
1.092,0.100000,31569,1.11
4.027,0.200000,60062,1.25
4.171,0.300000,91754,1.43
4.251,0.400000,120016,1.67
4.339,0.500000,153545,2.00
4.371,0.550000,166035,2.22
4.411,0.600000,182547,2.50
4.451,0.650000,197164,2.86
4.499,0.700000,212264,3.33
4.559,0.750000,226852,4.00
4.591,0.775000,233110,4.44
4.631,0.800000,241128,5.00
4.671,0.825000,247875,5.71
4.759,0.850000,255048,6.67
5.671,0.875000,262544,8.00
6.143,0.887500,266346,8.89
6.443,0.900000,270095,10.00
6.623,0.912500,273855,11.43
6.775,0.925000,277617,13.33
6.935,0.937500,281396,16.00
7.027,0.943750,283190,17.78
7.135,0.950000,285106,20.00
7.275,0.956250,286902,22.86
7.455,0.962500,288829,26.67
7.635,0.968750,290699,32.00
7.727,0.971875,291564,35.56
7.819,0.975000,292510,40.00
7.907,0.978125,293517,45.71
7.987,0.981250,294377,53.33
8.079,0.984375,295370,64.00
8.119,0.985938,295799,71.11
8.167,0.987500,296301,80.00
8.223,0.989062,296774,91.43
8.271,0.990625,297189,106.67
8.343,0.992188,297666,128.00
8.383,0.992969,297897,142.22
8.439,0.993750,298162,160.00
8.503,0.994531,298369,182.86
8.583,0.995313,298606,213.33
8.711,0.996094,298831,256.00
8.831,0.996484,298946,284.44
9.031,0.996875,299066,320.00
9.503,0.997266,299181,365.71
14.343,0.997656,299298,426.67
15.311,0.998047,299415,512.00
16.167,0.998242,299474,568.89
17.391,0.998437,299533,640.00
18.015,0.998633,299592,731.43
18.255,0.998828,299650,853.33
18.767,0.999023,299709,1024.00
18.991,0.999121,299739,1137.78
19.247,0.999219,299768,1280.00
19.663,0.999316,299795,1462.86
20.175,0.999414,299826,1706.67
21.295,0.999512,299854,2048.00
25.615,0.999561,299870,2275.56
26.767,0.999609,299883,2560.00
30.463,0.999658,299898,2925.71
31.423,0.999707,299913,3413.33
35.551,0.999756,299928,4096.00
39.583,0.999780,299935,4551.11
45.023,0.999805,299942,5120.00
49.215,0.999829,299950,5851.43
51.807,0.999854,299957,6826.67
56.319,0.999878,299964,8192.00
57.535,0.999890,299968,9102.22
58.719,0.999902,299971,10240.00
60.383,0.999915,299975,11702.86
63.743,0.999927,299979,13653.33
64.671,0.999939,299982,16384.00
65.599,0.999945,299984,18204.44
66.303,0.999951,299986,20480.00
67.007,0.999957,299988,23405.71
68.095,0.999963,299990,27306.67
68.735,0.999969,299991,32768.00
69.759,0.999973,299992,36408.89
70.079,0.999976,299993,40960.00
70.591,0.999979,299994,46811.43
72.063,0.999982,299995,54613.33
78.655,0.999985,299996,65536.00
78.655,0.999986,299996,72817.78
80.447,0.999988,299997,81920.00
80.447,0.999989,299997,93622.86
83.839,0.999991,299998,109226.67
83.839,0.999992,299998,131072.00
83.839,0.999993,299998,145635.56
85.567,0.999994,299999,163840.00
85.567,0.999995,299999,187245.71
85.567,0.999995,299999,218453.33
85.567,0.999996,299999,262144.00
85.567,0.999997,299999,291271.11
98.815,0.999997,300000,327680.00
98.815,1.000000,300000,inf
