Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,150163,1.00
0.001,0.100000,150163,1.11
0.001,0.200000,150163,1.25
0.001,0.300000,150163,1.43
0.001,0.400000,150163,1.67
0.001,0.500000,150163,2.00
0.116,0.550000,165057,2.22
0.247,0.600000,180303,2.50
0.427,0.650000,195001,2.86
0.978,0.700000,210049,3.33
17.871,0.750000,225001,4.00
37.087,0.775000,232507,4.44
57.983,0.800000,240010,5.00
63.103,0.825000,247809,5.71
63.359,0.850000,255255,6.67
63.551,0.875000,263677,8.00
63.615,0.887500,266854,8.89
63.679,0.900000,270087,10.00
63.743,0.912500,273864,11.43
63.839,0.925000,278279,13.33
63.903,0.937500,281479,16.00
63.967,0.943750,283948,17.78
63.999,0.950000,285070,20.00
64.063,0.956250,287372,22.86
64.127,0.962500,288994,26.67
64.223,0.968750,290965,32.00
64.287,0.971875,291871,35.56
64.351,0.975000,292608,40.00
64.479,0.978125,293489,45.71
64.703,0.981250,294437,53.33
65.055,0.984375,295324,64.00
65.343,0.985938,295793,71.11
65.983,0.987500,296266,80.00
73.407,0.989062,296719,91.43
76.863,0.990625,297195,106.67
87.807,0.992188,297657,128.00
105.151,0.992969,297891,142.22
151.935,0.993750,298125,160.00
203.391,0.994531,298360,182.86
265.727,0.995313,298594,213.33
312.319,0.996094,298830,256.00
328.447,0.996484,298947,284.44
344.063,0.996875,299064,320.00
361.983,0.997266,299180,365.71
380.927,0.997656,299298,426.67
387.839,0.998047,299419,512.00
390.143,0.998242,299474,568.89
409.855,0.998437,299532,640.00
433.663,0.998633,299590,731.43
463.615,0.998828,299649,853.33
494.335,0.999023,299708,1024.00
509.695,0.999121,299737,1137.78
522.751,0.999219,299766,1280.00
542.207,0.999316,299795,1462.86
571.391,0.999414,299825,1706.67
594.943,0.999512,299856,2048.00
613.375,0.999561,299870,2275.56
637.439,0.999609,299883,2560.00
655.359,0.999658,299900,2925.71
679.935,0.999707,299913,3413.33
724.479,0.999756,299927,4096.00
744.959,0.999780,299935,4551.11
762.879,0.999805,299943,5120.00
773.119,0.999829,299949,5851.43
784.895,0.999854,299957,6826.67
794.111,0.999878,299964,8192.00
810.495,0.999890,299968,9102.22
817.151,0.999902,299971,10240.00
828.415,0.999915,299975,11702.86
832.511,0.999927,299979,13653.33
837.119,0.999939,299982,16384.00
842.751,0.999945,299984,18204.44
862.719,0.999951,299986,20480.00
888.831,0.999957,299988,23405.71
898.559,0.999963,299990,27306.67
899.583,0.999969,299991,32768.00
902.143,0.999973,299992,36408.89
908.799,0.999976,299993,40960.00
913.919,0.999979,299994,46811.43
919.039,0.999982,299995,54613.33
945.663,0.999985,299996,65536.00
945.663,0.999986,299996,72817.78
960.511,0.999988,299997,81920.00
960.511,0.999989,299997,93622.86
964.607,0.999991,299998,109226.67
964.607,0.999992,299998,131072.00
964.607,0.999993,299998,145635.56
966.143,0.999994,299999,163840.00
966.143,0.999995,299999,187245.71
966.143,0.999995,299999,218453.33
966.143,0.999996,299999,262144.00
966.143,0.999997,299999,291271.11
982.015,0.999997,300000,327680.00
982.015,1.000000,300000,inf
